survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,ibiz_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,1/13/2020,6,6,8,5,5,5,6,,6,6,CB ,Deposits,67
New Account,1/24/2020,7,7,8,,,,,,,,CB ,Deposits,52
Closed Account,1/21/2020,7,7,,,,,,,,,CB ,Deposits,100
Closed Account,1/21/2020,6,7,0,,,,,,,,CB ,Deposits,45
Closed Account,1/21/2020,7,7,10,,,,,,,,CB ,Deposits,39
Retail Banking,1/21/2020,7,6,9,,,,,,,,CB ,Deposits,42
Closed Account,1/21/2020,7,7,10,,,,,,,,CB ,Loans,50
Loan,1/6/2020,7,7,10,,,,,,,,CB ,Loans,48
Retail Banking,1/21/2020,7,7,9,,,,,,,,CB ,Deposits,77
Mortgage Post Closing,1/23/2020,5,7,10,,,,,,,,,,48
Mortgage Post Closing,1/23/2020,6,7,10,,,,,,,,,,35
Mortgage Post Closing,1/16/2020,3,7,8,,,,,,,,,,69
Retail Banking,1/16/2020,6,7,10,,,,,,,,CB ,Deposits,66
Loan,1/16/2020,7,7,10,,,,,,,,CB ,Loans,73
Retail Banking,1/16/2020,7,7,10,,,,,,,,CB ,Deposits,52
Retail Banking,1/16/2020,7,7,10,,,,,,,,CB ,Loans,53
Retail Banking,1/17/2020,7,6,6,,,,,,,,CB ,Deposits,64
Business Banking,1/16/2020,7,7,10,,,,,,,,BB ,Deposits,
Digital Banking,1/21/2020,6,6,9,7,6,6,6,,7,7,CB ,Deposits,66
New Account,1/4/2020,7,7,10,,,,,,,,CB ,Deposits,22
Digital Banking,1/2/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,59
Business Banking,1/3/2020,3,2,3,,,,,,,,BB ,Loans,
Mortgage Post Application,1/3/2020,6,5,10,,,,,,,,,,31
Mortgage Post Application,1/3/2020,7,7,10,,,,,,,,,,57
Digital Banking,1/3/2020,7,7,10,7,7,6,7,,7,7,CB ,Deposits,61
Mortgage Post Application,1/3/2020,5,7,10,,,,,,,,,,53
Loan,1/3/2020,7,6,10,,,,,,,,CB ,Loans,59
Loan,1/3/2020,6,7,10,,,,,,,,CB ,Loans,35
Digital Banking,1/3/2020,6,7,10,7,7,7,5,,5,7,CB ,Deposits,56
Digital Banking,1/4/2020,4,6,7,7,5,5,4,,6,7,CB ,Deposits,57
Business Banking,1/3/2020,7,7,10,,,,,,,,BB ,Deposits,
New Account,1/4/2020,7,7,10,,,,,,,,CB ,Deposits,34
Wealth Management,1/6/2020,6,7,10,,,,,,,,WM,Investments,52
Closed Account,1/4/2020,7,7,10,,,,,,,,CB ,Deposits,39
New Account,1/4/2020,7,7,10,,,,,,,,CB ,Deposits,30
New Account,1/4/2020,7,5,7,,,,,,,,CB ,Deposits,34
New Account,1/2/2020,6,6,9,,,,,,,,CB ,Deposits,77
Closed Account,1/4/2020,7,7,10,,,,,,,,BB ,Deposits,
New Account,1/2/2020,7,7,10,,,,,,,,CB ,Deposits,18
New Account,1/4/2020,7,7,10,,,,,,,,CB ,Deposits,25
Digital Banking,1/2/2020,5,6,8,5,4,6,5,,6,7,CB ,Deposits,75
Retail Banking,1/2/2020,7,7,10,,,,,,,,CB ,Deposits,90
Business Banking,1/7/2020,7,7,10,,,,,,,,BB ,Deposits,
Closed Account,1/4/2020,7,7,10,,,,,,,,CB ,Loans,72
Business Banking,1/7/2020,7,7,9,,,,,,,,PB ,Deposits,
New Account,1/7/2020,7,7,10,,,,,,,,BB ,Deposits,35
New Account,1/7/2020,7,7,10,,,,,,,,CB ,Deposits,48
Retail Banking,1/7/2020,7,7,10,,,,,,,,CB ,Deposits,71
Retail Banking,1/7/2020,7,7,10,,,,,,,,CB ,Deposits,82
Retail Banking,1/2/2020,6,7,9,,,,,,,,CB ,Deposits,43
iBiz,1/2/2020,1,1,0,,1,,1,1,1,1,BB ,Deposits,
Digital Banking,1/3/2020,5,5,7,4,4,4,4,,5,5,CB ,Deposits,65
New Account,1/2/2020,7,7,10,,,,,,,,CB ,Deposits,45
New Account,1/2/2020,7,7,10,,,,,,,,CB ,Deposits,21
New Account,1/2/2020,7,7,10,,,,,,,,CB ,Deposits,65
Wealth Management,1/3/2020,7,7,10,,,,,,,,WM,Investments,77
Retail Banking,1/2/2020,7,7,10,,,,,,,,CB ,Deposits,28
Closed Account,1/4/2020,5,5,7,,,,,,,,BB ,Deposits,
Business Banking,1/6/2020,5,n/a,5,,,,,,,,BB ,Deposits,
Business Banking,1/6/2020,7,7,10,,,,,,,,BB ,Deposits,
New Account,1/3/2020,7,7,10,,,,,,,,CB ,Deposits,25
New Account,1/3/2020,6,6,9,,,,,,,,CB ,Deposits,71
New Account,1/3/2020,7,7,10,,,,,,,,CB ,Deposits,78
Digital Banking,1/3/2020,3,5,4,4,2,2,2,,3,6,CB ,Deposits,20
New Account,1/3/2020,7,6,8,,,,,,,,CB ,Deposits,49
New Account,1/6/2020,7,7,10,,,,,,,,CB ,Deposits,20
Digital Banking,1/6/2020,7,7,10,7,7,7,7,,7,7,BB ,Loans,62
Digital Banking,1/6/2020,7,7,10,7,7,7,7,,6,6,CB ,Deposits,43
New Account,1/7/2020,7,7,6,,,,,,,,CB ,Deposits,51
Business Banking,1/7/2020,7,7,10,,,,,,,,BB ,Deposits,
New Account,1/4/2020,7,7,10,,,,,,,,CB ,Deposits,40
Digital Banking,1/9/2020,6,7,10,6,6,6,6,,6,5,PB ,Deposits,66
Business Banking,1/9/2020,7,7,10,,,,,,,,C RE ,Deposits,
Business Banking,1/8/2020,7,7,10,,,,,,,,BB ,Loans,
Retail Banking,1/8/2020,7,7,10,,,,,,,,CB ,Loans,81
Business Banking,1/8/2020,7,7,10,,,,,,,,PB ,Deposits,
Digital Banking,1/8/2020,2,4,5,6,3,3,4,,4,7,CB ,Loans,57
Digital Banking,1/9/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,61
Retail Banking,1/9/2020,7,7,10,,,,,,,,CB ,Loans,77
Digital Banking,1/7/2020,6,6,10,7,6,6,6,,7,6,CB ,Deposits,65
Retail Banking,1/9/2020,4,5,4,,,,,,,,CB ,Deposits,64
Retail Banking,1/7/2020,7,7,10,,,,,,,,CB ,Deposits,74
Retail Banking,1/9/2020,7,7,10,,,,,,,,CB ,Loans,64
Business Banking,1/7/2020,7,7,10,,,,,,,,PB ,Deposits,
New Account,1/7/2020,7,7,10,,,,,,,,CB ,Deposits,35
Business Banking,1/6/2020,7,7,10,,,,,,,,BB ,Deposits,
Retail Banking,1/7/2020,7,7,10,,,,,,,,PB ,Deposits,74
New Account,1/6/2020,3,3,8,,,,,,,,CB ,Deposits,25
