survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,1/17/2020,3,7,10,2,2,5,4,3,6,CB ,Deposits,50
Digital Banking,1/27/2020,6,6,10,7,6,7,7,6,7,CB ,Deposits,32
Digital Banking,1/10/2020,7,7,10,7,6,7,7,7,7,CB ,Deposits,72
Digital Banking,1/22/2020,1,4,5,4,4,4,1,1,7,CB ,Loans,71
Digital Banking,1/17/2020,4,5,6,6,5,5,5,5,5,CB ,Deposits,32
Digital Banking,1/15/2020,2,7,10,3,4,7,2,3,7,CB ,Loans,73
Digital Banking,1/15/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,63
Digital Banking,1/23/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,60
Digital Banking,1/24/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,69
Digital Banking,1/24/2020,6,6,9,7,7,7,6,5,7,CB ,Deposits,68
Digital Banking,1/28/2020,5,3,2,4,4,2,2,3,5,BB ,Deposits,71
Digital Banking,1/23/2020,5,7,8,7,7,3,4,7,7,CB ,Deposits,24
Digital Banking,1/23/2020,5,7,10,7,7,7,1,4,7,CB ,Deposits,58
Digital Banking,1/18/2020,3,5,8,6,5,5,5,1,6,BB ,Deposits,65
Digital Banking,2/12/2020,7,7,9,7,7,7,7,7,7,CB ,Deposits,59
Digital Banking,2/11/2020,2,4,4,1,1,3,1,1,3,PB ,Deposits,71
Digital Banking,2/6/2020,6,6,8,6,6,6,6,6,6,CB ,Loans,67
Digital Banking,2/6/2020,6,4,3,3,3,3,3,3,5,CB ,Loans,85
Digital Banking,2/11/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,50
Digital Banking,2/7/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,84
Digital Banking,2/12/2020,5,6,8,6,6,6,6,6,6,CB ,Deposits,83
Digital Banking,2/3/2020,2,4,6,6,1,5,5,4,6,CB ,Loans,62
Digital Banking,2/19/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,76
Digital Banking,2/19/2020,6,7,10,6,6,6,6,7,7,CB ,Deposits,64
Digital Banking,2/19/2020,7,7,9,6,6,5,6,6,6,CB ,Deposits,65
Digital Banking,2/10/2020,6,6,9,6,6,6,6,7,6,CB ,Deposits,62
Digital Banking,2/17/2020,6,7,7,6,6,6,6,6,6,CB ,Deposits,51
Digital Banking,2/14/2020,6,6,9,5,5,5,7,5,7,CB ,Deposits,57
Digital Banking,2/21/2020,5,6,9,7,7,3,7,7,7,CB ,Deposits,43
Digital Banking,2/21/2020,4,7,10,5,4,4,4,4,6,PB ,Deposits,68
Digital Banking,2/13/2020,4,7,10,6,4,6,6,5,7,CB ,Deposits,81
Digital Banking,2/14/2020,7,7,10,7,7,7,6,7,7,CB ,Deposits,80
Digital Banking,2/15/2020,5,6,9,7,7,6,6,4,6,CB ,Deposits,48
Digital Banking,2/13/2020,6,6,7,6,3,4,6,6,5,CB ,Deposits,69
Digital Banking,2/13/2020,5,6,8,6,5,3,6,5,5,CB ,Deposits,46
Digital Banking,2/14/2020,6,6,9,6,6,6,5,6,6,CB ,Deposits,74
Digital Banking,2/5/2020,6,6,9,5,5,6,5,5,5,CB ,Deposits,69
Digital Banking,2/5/2020,7,7,10,7,6,6,7,7,7,CB ,Loans,67
Digital Banking,2/5/2020,2,7,10,2,2,2,3,3,7,CB ,Deposits,77
Digital Banking,2/6/2020,6,7,10,7,7,6,7,7,7,CB ,Deposits,66
Digital Banking,2/6/2020,6,7,10,7,7,5,6,7,7,CB ,Deposits,62
Digital Banking,2/7/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,87
Digital Banking,2/4/2020,5,4,7,2,3,2,5,5,5,CB ,Deposits,46
Digital Banking,2/4/2020,2,7,10,1,1,1,1,1,1,CB ,Deposits,74
Digital Banking,2/4/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,72
Digital Banking,2/4/2020,3,7,10,5,5,5,2,6,4,CB ,Deposits,56
Digital Banking,2/7/2020,6,7,10,7,6,6,7,7,7,CB ,Deposits,30
Digital Banking,2/19/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,62
Digital Banking,2/7/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,72
Digital Banking,2/6/2020,7,6,10,6,5,6,6,7,7,CB ,Deposits,85
Digital Banking,2/6/2020,5,7,10,3,4,5,5,5,5,CB ,Deposits,66
Digital Banking,2/7/2020,3,7,5,1,2,1,4,1,5,CB ,Deposits,66
Digital Banking,2/7/2020,6,6,9,6,6,6,6,6,6,CB ,Deposits,68
Digital Banking,2/24/2020,5,5,8,5,5,5,5,4,6,CB ,Loans,58
Digital Banking,2/21/2020,7,7,10,6,6,6,7,7,7,CB ,Loans,69
Digital Banking,2/24/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,24
Digital Banking,2/18/2020,6,6,9,6,6,6,6,6,6,CB ,Deposits,66
Digital Banking,2/19/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,83
Digital Banking,2/21/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,80
