survey_name,month,interview_date,satis_rating,avg_sat_rating,ease_rating,recommend_rating,login_rating,navig_rating,web_rating,function_rating,feature_rating,security_rating,dept_org_unit,product,zipcode,age,
Digital Banking,2020M01,1/6/2020,6,,6,9,6,6,6,6,6,6,CB ,Deposits,78006,74,
Digital Banking,2020M01,1/12/2020,3,,7,10,5,5,4,3,4,5,CB ,Deposits,78260,61,
Digital Banking,2020M01,1/13/2020,4,,4,4,4,4,4,4,4,5,CB ,Deposits,78015,66,
Digital Banking,2020M01,1/24/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78247,69,
Digital Banking,2020M01,1/24/2020,6,,6,9,6,6,6,6,6,7,CB ,Deposits,78249,72,
Digital Banking,2020M01,1/25/2020,4,,4,6,5,4,4,4,4,6,CB ,Deposits,78217,65,
Digital Banking,2020M01,1/25/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78070,82,
Digital Banking,2020M01,1/25/2020,6,,7,10,7,7,7,7,5,7,CB ,Deposits,78132,75,
Digital Banking,2020M01,1/26/2020,5,,7,9,5,5,5,5,6,7,PB ,Deposits,78209,78,
Digital Banking,2020M01,1/10/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78163,73,
Digital Banking,2020M01,1/15/2020,7,,7,10,7,5,6,6,7,7,CB ,Deposits,78233,72,
Digital Banking,2020M01,1/15/2020,5,,7,9,7,5,6,6,6,7,PB ,Loans,78734,59,
Digital Banking,2020M01,1/15/2020,5,,2,4,6,6,6,3,5,5,CB ,Loans,78163,56,
Digital Banking,2020M01,1/25/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78108,57,
Digital Banking,2020M01,1/17/2020,3,,7,10,2,2,5,4,3,6,CB ,Deposits,73116,50,
Digital Banking,2020M01,1/27/2020,6,,6,10,7,6,7,7,6,7,CB ,Deposits,78209,32,
Digital Banking,2020M01,1/10/2020,7,,7,10,7,6,7,7,7,7,CB ,Deposits,78254,72,
Digital Banking,2020M01,1/22/2020,1,,4,5,4,4,4,1,1,7,CB ,Loans,78121,71,
Digital Banking,2020M01,1/17/2020,4,,5,6,6,5,5,5,5,5,CB ,Deposits,78212,32,
Digital Banking,2020M01,1/15/2020,2,,7,10,3,4,7,2,3,7,CB ,Loans,78026,73,
Digital Banking,2020M01,1/15/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78109,63,
Digital Banking,2020M01,1/23/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78218,60,
Digital Banking,2020M01,1/24/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78249,69,
Digital Banking,2020M01,1/24/2020,6,,6,9,7,7,7,6,5,7,CB ,Deposits,78163,68,
Digital Banking,2020M01,1/28/2020,5,,3,2,4,4,2,2,3,5,BB ,Deposits,78212,71,
Digital Banking,2020M01,1/23/2020,5,,7,8,7,7,3,4,7,7,CB ,Deposits,78232,24,
Digital Banking,2020M01,1/23/2020,5,,7,10,7,7,7,1,4,7,CB ,Deposits,78109,58,
Digital Banking,2020M01,1/18/2020,3,,5,8,6,5,5,5,1,6,BB ,Deposits,78114,65,
Digital Banking,2020M02,2/12/2020,7,,7,9,7,7,7,7,7,7,CB ,Deposits,76943,59,
Digital Banking,2020M02,2/11/2020,2,,4,4,1,1,3,1,1,3,PB ,Deposits,78231,71,
Digital Banking,2020M02,2/6/2020,6,,6,8,6,6,6,6,6,6,CB ,Loans,78230,67,
Digital Banking,2020M02,2/6/2020,6,,4,3,3,3,3,3,3,5,CB ,Loans,78245,85,
Digital Banking,2020M02,2/11/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78114,50,
Digital Banking,2020M02,2/7/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78217,84,
Digital Banking,2020M02,2/12/2020,5,,6,8,6,6,6,6,6,6,CB ,Deposits,78249,83,
Digital Banking,2020M02,2/3/2020,2,,4,6,6,1,5,5,4,6,CB ,Loans,78070,62,
Digital Banking,2020M02,2/19/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78249,76,
Digital Banking,2020M02,2/19/2020,6,,7,10,6,6,6,6,7,7,CB ,Deposits,78619,64,
Digital Banking,2020M02,2/19/2020,7,,7,9,6,6,5,6,6,6,CB ,Deposits,78109,65,
Digital Banking,2020M02,2/10/2020,6,,6,9,6,6,6,6,7,6,CB ,Deposits,78881,62,
Digital Banking,2020M02,2/17/2020,6,,7,7,6,6,6,6,6,6,CB ,Deposits,78070,51,
Digital Banking,2020M02,2/14/2020,6,,6,9,5,5,5,7,5,7,CB ,Deposits,78728,57,
Digital Banking,2020M02,2/21/2020,5,,6,9,7,7,3,7,7,7,CB ,Deposits,78023,43,
Digital Banking,2020M02,2/21/2020,4,,7,10,5,4,4,4,4,6,PB ,Deposits,78229,68,
Digital Banking,2020M02,2/13/2020,4,,7,10,6,4,6,6,5,7,CB ,Deposits,78802,81,
Digital Banking,2020M02,2/14/2020,7,,7,10,7,7,7,6,7,7,CB ,Deposits,78861,80,
Digital Banking,2020M02,2/15/2020,5,,6,9,7,7,6,6,4,6,CB ,Deposits,78861,48,
Digital Banking,2020M02,2/13/2020,6,,6,7,6,3,4,6,6,5,CB ,Deposits,78258,69,
Digital Banking,2020M02,2/13/2020,5,,6,8,6,5,3,6,5,5,CB ,Deposits,78260,46,
Digital Banking,2020M02,2/14/2020,6,,6,9,6,6,6,5,6,6,CB ,Deposits,78233,74,
Digital Banking,2020M02,2/5/2020,6,,6,9,5,5,6,5,5,5,CB ,Deposits,78101,69,
